,_id,some_id,username,post_type,display_url,is_video,edge_media_to_caption,edge_media_to_comment,taken_at_timestamp,edge_liked_by,edge_media_to_tagged_users,video_view_count,,mentions,hashtags
0,6379e0efb43196501e9df47c,6375d5f76cbf1b635cd3a3fd,huinileee,GraphSidecar,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/313337567_681566609968054_8118773475709152853_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Rmax87pLLjgAX9i2bAg&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AfDVDdpjMK4dVpH4fXvSMQJQQepBUnP6XH2nEeCAz6iw6Q&oe=63730EED&_nc_sid=7bff83,FALSE,"Sunset chasing-literally! 🌅 Blessed with good weather on my run!

The adrenaline after the run is always the best feeling despite how tough the process is for me. 🏔️🥵

If you’re like me and in the midst of training for your marathon journey, do NOT give up!!

Seek discomfort and let yourself grow! I’ll be working on intervals next week -catch y’all on the road real soon!🛣️

Registration closes on 25 November, 11:59pm, and slots are selling out fast! So sign up now: https://singaporemarathon.com/

#SCSMVC #SGMarathon #SCSM2022",26,1667123815,4348,['sgmarathon'],0,,['sgmarathon'],"['SCSMVC', 'SGMarathon', 'SCSM2022']"
1,6379e0efb43196501e9df47d,6375d5f76cbf1b635cd3a3fe,huinileee,GraphSidecar,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/312829225_850814389687302_1458198149150916098_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=nF1gdyO4_3QAX9YxkMR&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AfC0bvkK3k-k2aw3c9h5kKoZXzzCqxPINO869O40rRhkRA&oe=6373A61E&_nc_sid=7bff83,FALSE,"Never fully dressed without great hair! 

💇‍♀️: @eric4708",24,1666954268,3554,"['lovebonito', 'gentlewomanstore', 'eric4708']",0,,"['lovebonito', 'gentlewomanstore', 'eric4708']",[]
2,6379e0efb43196501e9df47e,6375d5f76cbf1b635cd3a3fb,huinileee,GraphSidecar,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/314370972_2090148224708703_5889570912602308352_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=cRIpFgjnv2MAX9GgQIN&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AfAFyprSOf71MbRPndYN3_Zj-oMj0xkxc00nndd2vNCGKw&oe=637344DA&_nc_sid=7bff83,FALSE,"Seas-ing the day today with a morning row! 🚣‍♀️

Had a ball kayaking at PAssion Wave Bedok Reservoir with some cardio to kick start my day. It was such a fresh breath of air 💨 to be out and about! Just found out that PAssion Wave offers a broad range of water programmes 🌊like SUP, windsurfing and even sailing at their 6 outlets across Singapore! 📍

Head down with your family and friends for a good way to keep active. It could even be a cute date idea! 🥰

The sea and reservoir outlets are available across the island! Tryouts are available at the Outdoor Fiesta on 26 & 27 Nov from $1 per pax! @pa.passionwave for more details!

#PAssionWave",16,1667622415,4463,['pa.passionwave'],0,,['pa.passionwave'],['PAssionWave']
3,6379e0efb43196501e9df47f,6375d5f76cbf1b635cd3a3fc,huinileee,GraphVideo,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/313749466_186733883884822_5445384140903814679_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=b42LRXivze8AX-j2MC5&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AfBiM-i--fI-ODh17wzJjdjlNwL2oppcJX3fIYkPpNDawg&oe=636F922A&_nc_sid=7bff83,TRUE,"The feeling when you’re up in the clouds, on the way to unknown grounds. A feeling you can’t replicate ☁️

Just editing footages from my trips and it gave me the major wanderlust ☁️
but just like that 🫰🏽, I can go on the trip of my dreams with @trip.com_sg!

Download Trip.com APP now and search “99JustLikeThat” in APP to get discount for your next trip! Limited offer every Thursday 12 am. 

#MyTripJustLikeThat",14,1667297619,1880,['trip.com_sg'],11469,,['trip.com_sg'],['MyTripJustLikeThat']
4,6379e0efb43196501e9df480,6375d5f76cbf1b635cd3a3f9,huinileee,GraphSidecar,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/314617770_819218576068617_1624117101845388523_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=IYmGZ4qNd3MAX8B7B4M&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AfCjfmk7nTvoSz21_dYmvp1ZzUebZwP-ukLC5Wrflne5Dg&oe=63732DF2&_nc_sid=7bff83,FALSE,"Spinning my way into all the upcoming deals! 🚲🤩

I did an hour of cardio and it was nothing but myself, my breath and the music! The adrenaline is like no other! ❤️‍🔥 Not to mention, in the cutest fit ever from @adidassg! 🖤

I'm getting all pumped at @synccycle to prep for my shopping marathon at the ZALORA 11.11 Sale Powered by Grab! Use my code 'Z1111Hayley' for 25% off min spend $80 on top of amazing brand deals and vouchers + 5% cashback. 🤑🛒

@zalora
#ZALORA1111 #ZALORABiggestFashionSale #ZALORAGetTheLook",31,1667988125,5670,"['zalora', 'adidassg', 'synccycle']",0,,"['zalora', 'adidassg', 'synccycle']","['ZALORA1111', 'ZALORABiggestFashionSale', 'ZALORAGetTheLook']"
5,6379e0efb43196501e9df481,6375d5f76cbf1b635cd3a3f7,huinileee,GraphVideo,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/270197741_1565787057147673_8327016565830847944_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=YivPjwl0SJIAX8m_WrB&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AfDIkhS-HyPyAE-lfXKphD-gas4aIflDFI0K7QvMQgpyMg&oe=636F83D6&_nc_sid=7bff83,TRUE,"It’s day one, or one day. 🗓 

You’re always one decision away from a totally different life, and I will always choose to live life to the fullest. Because time ⏰ passes anyway. If you don’t decide to do anything, nothing will happen and your future won’t be any different from the past. 

#TimeToLevelUp. Follow me on a day in my life in this reel, and how @huawei.sg Watch GT3 powers up my day, and keeps me staying on the top of my game in both fitness and wellness. Check it out at https://bit.ly/gt3huini

PS. I really appreciate you taking time out of your day to watch this!

#HUAWEIWATCHGT3 #TimeIsNow",31,1640772046,3052,['huawei.sg'],31901,,['huawei.sg'],"['TimeToLevelUp.', 'HUAWEIWATCHGT3', 'TimeIsNow']"
6,6379e0efb43196501e9df482,6375d5f76cbf1b635cd3a3f8,huinileee,GraphSidecar,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/314359584_800189254569458_2398176097116629856_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=gLApvCkfzvgAX9RDhIp&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AfDZfwqdn7yG8RTumXCtH3p-aPlChE8RrHdqUcKrwMImVg&oe=6372DC28&_nc_sid=7bff83,FALSE,"It’s a privilege to be alive, smell flowers, hug friends, laugh, cry, breathe, walk, see colours.. Life is now. 🌼🌈

I have many goals before I hit 30 - career wise and other personal ones. I wish to hopefully get my apartment by then, and start something for myself. But one of the most important things in life - health. I can’t emphasize enough about this - to my closest ones, and all of you here. Without our health, nothing else in life can be accomplished. 🩺

Work hard, play hard, dream big and love lots. We need our health to do so. And one of the ways we could do that is to get regular screenings and speak to your doctors about other preventive measures that you can take when it comes to HPV prevention. 💉

Don’t let vaccine-preventable diseases like HPV get in the way of your dreams. I urge all of you, girls and boys, to ask your doctor about HPV Prevention. 👩🏻‍⚕️

In the end, we have one life. Let’s live it to the fullest and arm yourself against HPV.

@itsyourlifesg #hpv #SponsoredbyMSD #ItsYourLifeSG",16,1668074169,2868,['itsyourlifesg'],0,,['itsyourlifesg'],"['hpv', 'SponsoredbyMSD', 'ItsYourLifeSG']"
7,6379e0efb43196501e9df483,6375d5f76cbf1b635cd3a3ff,huinileee,GraphSidecar,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/312768010_642469247372881_5038446836782735339_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=DodJ8wupVMEAX_P7xbx&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AfDsZ2sWHxPJ9ziLPVE12G-PKF1Eh7qJjFi_4OFXLyGYhA&oe=6372F88F&_nc_sid=7bff83,FALSE,Life is the biggest party you’ll ever be at ☁️🪐,14,1666865532,4781,"['novitalam', 'officialclaude', 'hyperecords', 'thefirstrefresh', 'minkportraits', 'duostud.io']",0,,"['novitalam', 'thefirstrefresh', 'officialclaude', 'duostud.io', 'hyperecords', 'minkportraits']",[]
8,6379e0efb43196501e9df484,6375d5f76cbf1b635cd3a3fa,huinileee,GraphVideo,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/314023601_432310389096992_276824298128542196_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=XDkUGohUUNYAX_GTd8Y&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AfAg1pOFvjchgOjiHpF1bb4e9wt_bPkuSAVNhXBWTNI_RQ&oe=636FC507&_nc_sid=7bff83,TRUE,"Not letting my mid-day bummer hit me! 🕕

It’s so important to take a breather when you need to and I’m glad I have Ricola to accompany me for a breath of fresh air as I try Kayak Fishing 🎣 for the first time!

Escape your daily grind just for a moment with Ricola Swiss Herb Candy and redeem a fun outdoor activity when you buy any 3 Ricola Products! Head over to 👉🏻www.ricolaexperience.com to find out more! 

#RicolaSG #NeedABreather #LiftYourMood #RicolaExperience #BreatheInNature #RicolaBreather",18,1667707204,2190,"['fever.sg', 'ricola_sg']",15445,,"['fever.sg', 'ricola_sg']","['RicolaSG', 'NeedABreather', 'LiftYourMood', 'RicolaExperience', 'BreatheInNature', 'RicolaBreather']"
9,6379e0efb43196501e9df485,6375d5f76cbf1b635cd3a400,huinileee,GraphSidecar,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/312131033_455797076620011_2088493958085549543_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=ET36D1ocCHYAX913aD1&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AfCxLE9e3Zh7PjpQemoPwqevHJK71FlUZtedvAi33SIqkQ&oe=63721DBA&_nc_sid=7bff83,FALSE,"Make time for yourself (and your girlfriends)! 👯‍♀️🤍

We are choosing to stay in today because sometimes, all we need is a bit of pampering! 💆🏽‍♀️

Helps that su:m37° products are suitable for all skin types! We love that our skin texture is much more balanced and fresh after a session. We are both glowing and smelling sweet after! 🌼

#SUMSociety @sum37.sg #SUM37_Secret",25,1666325846,5762,['sum37.sg'],0,,['sum37.sg'],"['SUMSociety', 'SUM37_Secret']"
